size,torch,compiled,cuda,clone
1024.000000,35.870215,35.540131,138.847453,512.000001
2048.000000,135.685297,52.597108,189.410412,606.814814
4096.000000,116.924171,105.278711,367.148447,655.360017
8192.000000,109.683680,136.037363,494.611303,689.852609
16384.000000,109.706637,137.428049,510.007768,704.688154
32768.000000,129.389927,173.089468,515.017706,712.347810
65536.000000,61.556918,104.284038,518.263225,717.220268
131072.000000,36.452240,68.197849,520.320546,718.202711
262144.000000,30.290564,59.194346,520.482005,720.175811
524288.000000,29.361441,57.618221,519.861013,721.042484
